scenario_id,map_file,fleet_size,lane_mode,lane_count,reservation_mode,lookahead_depth,random_seed,throughput_tasks_per_hour,tasks_completed,avg_task_completion_time_s,avg_wait_time_s,total_wait_time_s,reservation_failure_rate,node_occupancy_rate,edge_occupancy_rate,agv_utilization,reroute_count,deadlock_or_stall_count,max_queue_length,total_travel_distance_m,top_bottleneck_node,top_bottleneck_edge,sim_time_s
scenario_001,maps/sample_fab.json,3,one_way,1,next_node,1,42,96.0,8,79.93,0.0,0.0,0.0,0.0,0.0048,0.9556,0,0,0,21.0,,node_intersection_01__node_work_01,300.0
scenario_002,maps/sample_fab.json,3,one_way,1,lookahead_n,1,42,96.0,8,79.93,0.0,0.0,0.0,0.0,0.0048,0.9556,0,0,0,21.0,,node_intersection_01__node_work_01,300.0
scenario_003,maps/sample_fab.json,3,one_way,1,lookahead_n,2,42,96.0,8,79.93,0.0,0.0,0.0,0.0,0.0048,0.9556,0,0,0,21.0,,node_intersection_01__node_work_01,300.0
scenario_004,maps/sample_fab.json,3,one_way,2,next_node,1,42,96.0,8,79.93,0.0,0.0,0.0,0.0,0.0048,0.9556,0,0,0,21.0,,node_intersection_01__node_work_01,300.0
scenario_005,maps/sample_fab.json,3,one_way,2,lookahead_n,1,42,96.0,8,79.93,0.0,0.0,0.0,0.0,0.0048,0.9556,0,0,0,21.0,,node_intersection_01__node_work_01,300.0
scenario_006,maps/sample_fab.json,3,one_way,2,lookahead_n,2,42,96.0,8,79.93,0.0,0.0,0.0,0.0,0.0048,0.9556,0,0,0,21.0,,node_intersection_01__node_work_01,300.0
scenario_007,maps/sample_fab.json,3,bidirectional,1,next_node,1,42,96.0,8,78.76,0.0,0.0,0.0,0.0,0.0119,0.9665,0,0,0,75.0,,node_intersection_02__node_work_02,300.0
scenario_008,maps/sample_fab.json,3,bidirectional,1,lookahead_n,1,42,96.0,8,78.76,0.0,0.0,0.0,0.0,0.0119,0.9665,0,0,0,75.0,,node_intersection_02__node_work_02,300.0
scenario_009,maps/sample_fab.json,3,bidirectional,1,lookahead_n,2,42,96.0,8,78.76,0.0,0.0,0.0,0.0,0.0119,0.9665,0,0,0,75.0,,node_intersection_02__node_work_02,300.0
scenario_010,maps/sample_fab.json,3,bidirectional,2,next_node,1,42,96.0,8,78.76,0.0,0.0,0.0,0.0,0.0119,0.9665,0,0,0,75.0,,node_intersection_02__node_work_02,300.0
scenario_011,maps/sample_fab.json,3,bidirectional,2,lookahead_n,1,42,96.0,8,78.76,0.0,0.0,0.0,0.0,0.0119,0.9665,0,0,0,75.0,,node_intersection_02__node_work_02,300.0
scenario_012,maps/sample_fab.json,3,bidirectional,2,lookahead_n,2,42,96.0,8,78.76,0.0,0.0,0.0,0.0,0.0119,0.9665,0,0,0,75.0,,node_intersection_02__node_work_02,300.0
scenario_013,maps/sample_fab.json,5,one_way,1,next_node,1,42,204.0,17,69.63,0.0,0.0,0.0,0.0,0.0079,0.8586,0,0,0,35.0,,node_intersection_01__node_work_01,300.0
scenario_014,maps/sample_fab.json,5,one_way,1,lookahead_n,1,42,204.0,17,69.63,0.0,0.0,0.0,0.0,0.0079,0.8586,0,0,0,35.0,,node_intersection_01__node_work_01,300.0
scenario_015,maps/sample_fab.json,5,one_way,1,lookahead_n,2,42,204.0,17,69.63,0.0,0.0,0.0,0.0,0.0079,0.8586,0,0,0,35.0,,node_intersection_01__node_work_01,300.0
scenario_016,maps/sample_fab.json,5,one_way,2,next_node,1,42,204.0,17,69.63,0.0,0.0,0.0,0.0,0.0079,0.8586,0,0,0,35.0,,node_intersection_01__node_work_01,300.0
scenario_017,maps/sample_fab.json,5,one_way,2,lookahead_n,1,42,204.0,17,69.63,0.0,0.0,0.0,0.0,0.0079,0.8586,0,0,0,35.0,,node_intersection_01__node_work_01,300.0
scenario_018,maps/sample_fab.json,5,one_way,2,lookahead_n,2,42,204.0,17,69.63,0.0,0.0,0.0,0.0,0.0079,0.8586,0,0,0,35.0,,node_intersection_01__node_work_01,300.0
scenario_019,maps/sample_fab.json,5,bidirectional,1,next_node,1,42,204.0,17,76.36,0.0,0.0,0.0,0.0,0.0223,0.9259,0,0,0,169.68,,node_intersection_01__node_work_01,300.0
scenario_020,maps/sample_fab.json,5,bidirectional,1,lookahead_n,1,42,204.0,17,76.36,0.0,0.0,0.0,0.0,0.0223,0.9259,0,0,0,169.68,,node_intersection_01__node_work_01,300.0
scenario_021,maps/sample_fab.json,5,bidirectional,1,lookahead_n,2,42,204.0,17,76.36,0.0,0.0,0.0,0.0,0.0223,0.9259,0,0,0,169.68,,node_intersection_01__node_work_01,300.0
scenario_022,maps/sample_fab.json,5,bidirectional,2,next_node,1,42,204.0,17,76.36,0.0,0.0,0.0,0.0,0.0223,0.9259,0,0,0,169.68,,node_intersection_01__node_work_01,300.0
scenario_023,maps/sample_fab.json,5,bidirectional,2,lookahead_n,1,42,204.0,17,76.36,0.0,0.0,0.0,0.0,0.0223,0.9259,0,0,0,169.68,,node_intersection_01__node_work_01,300.0
scenario_024,maps/sample_fab.json,5,bidirectional,2,lookahead_n,2,42,204.0,17,76.36,0.0,0.0,0.0,0.0,0.0223,0.9259,0,0,0,169.68,,node_intersection_01__node_work_01,300.0
scenario_025,maps/sample_fab.json,8,one_way,1,next_node,1,42,252.0,21,76.28,0.0,0.0,0.0,0.0,0.0118,0.8064,0,0,0,68.0,,node_intersection_02__node_work_02,300.0
scenario_026,maps/sample_fab.json,8,one_way,1,lookahead_n,1,42,252.0,21,76.28,0.0,0.0,0.0,0.0,0.0118,0.8064,0,0,0,68.0,,node_intersection_02__node_work_02,300.0
scenario_027,maps/sample_fab.json,8,one_way,1,lookahead_n,2,42,252.0,21,76.28,0.0,0.0,0.0,0.0,0.0118,0.8064,0,0,0,68.0,,node_intersection_02__node_work_02,300.0
scenario_028,maps/sample_fab.json,8,one_way,2,next_node,1,42,252.0,21,76.28,0.0,0.0,0.0,0.0,0.0118,0.8064,0,0,0,68.0,,node_intersection_02__node_work_02,300.0
scenario_029,maps/sample_fab.json,8,one_way,2,lookahead_n,1,42,252.0,21,76.28,0.0,0.0,0.0,0.0,0.0118,0.8064,0,0,0,68.0,,node_intersection_02__node_work_02,300.0
scenario_030,maps/sample_fab.json,8,one_way,2,lookahead_n,2,42,252.0,21,76.28,0.0,0.0,0.0,0.0,0.0118,0.8064,0,0,0,68.0,,node_intersection_02__node_work_02,300.0
scenario_031,maps/sample_fab.json,8,bidirectional,1,next_node,1,42,288.0,24,78.35,0.0,0.0,0.0,0.0,0.0333,0.8767,0,0,0,254.0,,node_intersection_01__node_work_01,300.0
scenario_032,maps/sample_fab.json,8,bidirectional,1,lookahead_n,1,42,288.0,24,78.35,0.0,0.0,0.0,0.0,0.0333,0.8767,0,0,0,254.0,,node_intersection_01__node_work_01,300.0
scenario_033,maps/sample_fab.json,8,bidirectional,1,lookahead_n,2,42,288.0,24,78.35,0.0,0.0,0.0,0.0,0.0333,0.8767,0,0,0,254.0,,node_intersection_01__node_work_01,300.0
scenario_034,maps/sample_fab.json,8,bidirectional,2,next_node,1,42,288.0,24,78.35,0.0,0.0,0.0,0.0,0.0333,0.8767,0,0,0,254.0,,node_intersection_01__node_work_01,300.0
scenario_035,maps/sample_fab.json,8,bidirectional,2,lookahead_n,1,42,288.0,24,78.35,0.0,0.0,0.0,0.0,0.0333,0.8767,0,0,0,254.0,,node_intersection_01__node_work_01,300.0
scenario_036,maps/sample_fab.json,8,bidirectional,2,lookahead_n,2,42,288.0,24,78.35,0.0,0.0,0.0,0.0,0.0333,0.8767,0,0,0,254.0,,node_intersection_01__node_work_01,300.0
